"text","line_number","section","chapter_number","paragraph_number"
"CHAPTER I. LOOMINGS",664,"text",1,0
"",665,"text",1,1
"",666,"text",1,2
"Call me Ishmael. Some years ago—never mind how long precisely—having",667,"text",1,2
"little or no money in my purse, and nothing particular to interest me",668,"text",1,2
"on shore, I thought I would sail about a little and see the watery part",669,"text",1,2
"of the world. It is a way I have of driving off the spleen, and",670,"text",1,2
"regulating the circulation. Whenever I find myself growing grim about",671,"text",1,2
"the mouth; whenever it is a damp, drizzly November in my soul; whenever",672,"text",1,2
"I find myself involuntarily pausing before coffin warehouses, and",673,"text",1,2
"bringing up the rear of every funeral I meet; and especially whenever",674,"text",1,2
"my hypos get such an upper hand of me, that it requires a strong moral",675,"text",1,2
"principle to prevent me from deliberately stepping into the street, and",676,"text",1,2
"methodically knocking people’s hats off—then, I account it high time to",677,"text",1,2
"get to sea as soon as I can. This is my substitute for pistol and ball.",678,"text",1,2
"With a philosophical flourish Cato throws himself upon his sword; I",679,"text",1,2
"quietly take to the ship. There is nothing surprising in this. If they",680,"text",1,2
"but knew it, almost all men in their degree, some time or other,",681,"text",1,2
"cherish very nearly the same feelings towards the ocean with me.",682,"text",1,2
"",683,"text",1,3
"There now is your insular city of the Manhattoes, belted round by",684,"text",1,3
"wharves as Indian isles by coral reefs—commerce surrounds it with her",685,"text",1,3
"surf. Right and left, the streets take you waterward. Its extreme",686,"text",1,3
"down-town is the battery, where that noble mole is washed by waves, and",687,"text",1,3
"cooled by breezes, which a few hours previous were out of sight of",688,"text",1,3
"land. Look at the crowds of water-gazers there.",689,"text",1,3
"",690,"text",1,4
"Circumambulate the city of a dreamy Sabbath afternoon. Go from Corlears",691,"text",1,4
"Hook to Coenties Slip, and from thence, by Whitehall northward. What do",692,"text",1,4
"you see?—Posted like silent sentinels all around the town, stand",693,"text",1,4
"thousands upon thousands of mortal men fixed in ocean reveries. Some",694,"text",1,4
"leaning against the spiles; some seated upon the pier-heads; some",695,"text",1,4
"looking over the bulwarks of ships from China; some high aloft in the",696,"text",1,4
"rigging, as if striving to get a still better seaward peep. But these",697,"text",1,4
"are all landsmen; of week days pent up in lath and plaster—tied to",698,"text",1,4
"counters, nailed to benches, clinched to desks. How then is this? Are",699,"text",1,4
"the green fields gone? What do they here?",700,"text",1,4
