chapter_number,total,NOUN_count,NOUN_prop,ADJ_count,ADJ_prop,VERB_count,VERB_prop,ADV_count,ADV_prop,PROPN_count,PROPN_prop,CONJ_count,CONJ_prop,PRON_count,PRON_prop,PUNCT_count,PUNCT_prop
1,2583,447,0.17305458768873402,163,0.06310491676345335,270,0.10452961672473868,140,0.05420054200542006,54,0.020905923344947737,181,0.07007355787843593,297,0.11498257839721254,340,0.1316298877274487
2,1691,253,0.14961561206386753,123,0.07273802483737433,172,0.1017149615612064,108,0.0638675340035482,87,0.0514488468361916,103,0.06091070372560615,148,0.08752217622708457,241,0.14251921939680662
3,7045,1083,0.15372604684173172,465,0.0660042583392477,825,0.11710432931156849,407,0.05777146912704045,141,0.020014194464158978,409,0.05805535841022001,820,0.11639460610361958,1050,0.149041873669269
4,1921,295,0.15356585111920876,121,0.06298802706923477,242,0.12597605413846955,128,0.06663196251952108,25,0.013014055179593961,136,0.07079646017699115,252,0.13118167621030713,248,0.1290994273815721
5,886,152,0.17155756207674944,69,0.07787810383747178,84,0.09480812641083522,62,0.06997742663656885,22,0.024830699774266364,48,0.05417607223476298,81,0.09142212189616253,126,0.14221218961625282
6,981,197,0.20081549439347604,71,0.07237512742099898,92,0.09378185524974515,46,0.046890927624872576,65,0.06625891946992865,57,0.0581039755351682,72,0.07339449541284404,145,0.14780835881753313
7,1105,187,0.16923076923076924,76,0.06877828054298643,111,0.10045248868778281,46,0.0416289592760181,67,0.06063348416289593,59,0.05339366515837104,109,0.09864253393665158,143,0.12941176470588237
8,1108,218,0.1967509025270758,88,0.07942238267148015,109,0.0983754512635379,45,0.04061371841155235,34,0.030685920577617327,52,0.04693140794223827,79,0.07129963898916968,138,0.12454873646209386
9,4295,697,0.16228172293364376,228,0.05308498253783469,469,0.10919674039580908,208,0.04842840512223516,193,0.044935972060535505,282,0.06565774155995344,457,0.10640279394644936,656,0.15273573923166472
10,1803,248,0.13754853022739877,120,0.06655574043261231,219,0.12146422628951747,127,0.0704381586245147,45,0.024958402662229616,115,0.06378258458125347,251,0.13921242373821408,230,0.12756516916250693
11,828,121,0.1461352657004831,67,0.08091787439613526,87,0.10507246376811594,69,0.08333333333333333,7,0.008454106280193236,75,0.09057971014492754,102,0.12318840579710146,92,0.1111111111111111
12,1036,147,0.14189189189189189,69,0.06660231660231661,123,0.11872586872586872,51,0.04922779922779923,43,0.041505791505791506,67,0.06467181467181467,127,0.12258687258687259,143,0.13803088803088803
13,2054,358,0.17429406037000975,122,0.05939629990262902,256,0.124634858812074,104,0.05063291139240506,76,0.03700097370983447,113,0.05501460564751704,205,0.09980525803310614,323,0.1572541382667965
14,888,172,0.19369369369369369,52,0.05855855855855856,101,0.11373873873873874,37,0.041666666666666664,38,0.04279279279279279,53,0.059684684684684686,78,0.08783783783783784,121,0.13626126126126126
15,1452,237,0.16322314049586778,86,0.05922865013774105,169,0.11639118457300275,58,0.03994490358126722,75,0.05165289256198347,92,0.06336088154269973,142,0.09779614325068871,232,0.15977961432506887
16,6773,911,0.13450465081943008,479,0.0707219843496235,729,0.10763324966779861,400,0.059058024509080174,324,0.04783699985235494,391,0.057729218957625866,730,0.10778089472907132,1151,0.16993946552487818
17,2797,360,0.12870933142652843,165,0.058991776903825524,348,0.12441902037897748,173,0.06185198426885949,86,0.030747229174115123,186,0.06649982123703968,337,0.12048623525205578,465,0.1662495530925992
18,1745,230,0.1318051575931232,83,0.04756446991404011,220,0.12607449856733524,87,0.0498567335243553,132,0.07564469914040114,88,0.0504297994269341,211,0.12091690544412607,352,0.2017191977077364
19,1584,166,0.10479797979797979,76,0.047979797979797977,200,0.12626262626262627,82,0.05176767676767677,55,0.034722222222222224,97,0.061237373737373736,222,0.14015151515151514,335,0.21148989898989898
20,1077,195,0.181058495821727,59,0.05478180129990715,105,0.09749303621169916,62,0.057567316620241414,35,0.032497678737233054,95,0.0882079851439183,88,0.08170844939647168,138,0.12813370473537605
21,1434,165,0.11506276150627615,65,0.045327754532775454,193,0.13458856345885634,99,0.06903765690376569,50,0.03486750348675035,68,0.04741980474198047,165,0.11506276150627615,331,0.2308228730822873
