chapter_number,total,NOUN_count,NOUN_prop,ADJ_count,ADJ_prop,VERB_count,VERB_prop,ADV_count,ADV_prop,PROPN_count,PROPN_prop,CONJ_count,CONJ_prop,PRON_count,PRON_prop,PUNCT_count,PUNCT_prop
1,2583,447,0.1731,163,0.0631,270,0.1045,140,0.0542,54,0.0209,181,0.0701,297,0.115,340,0.1316
2,1691,253,0.1496,123,0.0727,172,0.1017,108,0.0639,87,0.0514,103,0.0609,148,0.0875,241,0.1425
3,7045,1083,0.1537,465,0.066,825,0.1171,407,0.0578,141,0.02,409,0.0581,820,0.1164,1050,0.149
4,1921,295,0.1536,121,0.063,242,0.126,128,0.0666,25,0.013,136,0.0708,252,0.1312,248,0.1291
5,886,152,0.1716,69,0.0779,84,0.0948,62,0.07,22,0.0248,48,0.0542,81,0.0914,126,0.1422
6,981,197,0.2008,71,0.0724,92,0.0938,46,0.0469,65,0.0663,57,0.0581,72,0.0734,145,0.1478
7,1105,187,0.1692,76,0.0688,111,0.1005,46,0.0416,67,0.0606,59,0.0534,109,0.0986,143,0.1294
8,1108,218,0.1968,88,0.0794,109,0.0984,45,0.0406,34,0.0307,52,0.0469,79,0.0713,138,0.1245
9,4295,697,0.1623,228,0.0531,469,0.1092,208,0.0484,193,0.0449,282,0.0657,457,0.1064,656,0.1527
10,1803,248,0.1375,120,0.0666,219,0.1215,127,0.0704,45,0.025,115,0.0638,251,0.1392,230,0.1276
11,828,121,0.1461,67,0.0809,87,0.1051,69,0.0833,7,0.0085,75,0.0906,102,0.1232,92,0.1111
12,1036,147,0.1419,69,0.0666,123,0.1187,51,0.0492,43,0.0415,67,0.0647,127,0.1226,143,0.138
13,2054,358,0.1743,122,0.0594,256,0.1246,104,0.0506,76,0.037,113,0.055,205,0.0998,323,0.1573
14,888,172,0.1937,52,0.0586,101,0.1137,37,0.0417,38,0.0428,53,0.0597,78,0.0878,121,0.1363
15,1452,237,0.1632,86,0.0592,169,0.1164,58,0.0399,75,0.0517,92,0.0634,142,0.0978,232,0.1598
16,6773,911,0.1345,479,0.0707,729,0.1076,400,0.0591,324,0.0478,391,0.0577,730,0.10780000000000001,1151,0.1699
17,2797,360,0.1287,165,0.059,348,0.1244,173,0.0619,86,0.0307,186,0.0665,337,0.1205,465,0.1662
18,1745,230,0.1318,83,0.0476,220,0.1261,87,0.0499,132,0.0756,88,0.0504,211,0.1209,352,0.2017
19,1584,166,0.1048,76,0.048,200,0.1263,82,0.0518,55,0.0347,97,0.0612,222,0.1402,335,0.2115
20,1077,195,0.1811,59,0.0548,105,0.0975,62,0.0576,35,0.0325,95,0.0882,88,0.0817,138,0.1281
21,1434,165,0.1151,65,0.0453,193,0.1346,99,0.069,50,0.0349,68,0.0474,165,0.1151,331,0.2308
22,2035,319,0.1568,133,0.0654,204,0.1002,127,0.0624,117,0.0575,101,0.0496,147,0.0722,364,0.1789
23,456,87,0.1908,31,0.068,48,0.1053,24,0.0526,18,0.0395,18,0.0395,39,0.0855,77,0.1689
24,1949,341,0.175,151,0.0775,167,0.0857,99,0.0508,87,0.0446,113,0.058,167,0.0857,264,0.1355
25,342,66,0.193,17,0.0497,30,0.0877,26,0.076,6,0.0175,23,0.0673,36,0.1053,53,0.155
26,1448,240,0.1657,126,0.087,129,0.0891,85,0.0587,39,0.0269,89,0.0615,138,0.0953,212,0.1464
27,1969,339,0.1722,153,0.0777,173,0.0879,110,0.0559,91,0.0462,95,0.0482,172,0.0874,261,0.1326
28,1645,253,0.1538,134,0.0815,163,0.0991,124,0.0754,57,0.0347,103,0.0626,164,0.0997,223,0.1356
29,1511,224,0.1482,95,0.0629,174,0.1152,93,0.0615,47,0.0311,90,0.0596,156,0.1032,260,0.1721
30,348,64,0.1839,20,0.0575,39,0.1121,14,0.0402,12,0.0345,17,0.0489,32,0.092,54,0.1552
31,1164,131,0.1125,70,0.0601,141,0.1211,47,0.0404,55,0.0473,45,0.0387,164,0.1409,273,0.2345
32,6253,971,0.1553,477,0.0763,513,0.082,335,0.0536,459,0.0734,308,0.0493,538,0.086,985,0.1575
33,1137,206,0.1812,103,0.0906,88,0.0774,68,0.0598,41,0.0361,78,0.0686,80,0.0704,149,0.131
34,2640,441,0.167,194,0.0735,252,0.0955,132,0.05,111,0.042,160,0.0606,236,0.0894,387,0.1466
35,3105,575,0.1852,244,0.0786,274,0.0882,170,0.0548,100,0.0322,170,0.0548,259,0.0834,460,0.1481
36,3600,564,0.1567,218,0.0606,422,0.1172,193,0.0536,180,0.05,174,0.0483,369,0.1025,748,0.2078
37,670,107,0.1597,38,0.0567,92,0.1373,32,0.0478,21,0.0313,33,0.0493,80,0.1194,138,0.206
38,492,79,0.1606,30,0.061,61,0.124,24,0.0488,14,0.0285,18,0.0366,59,0.1199,91,0.185
39,365,41,0.1123,23,0.063,44,0.1205,15,0.0411,27,0.074,17,0.0466,52,0.1425,75,0.2055
40,2213,380,0.1717,114,0.0515,247,0.1116,109,0.0493,160,0.0723,71,0.0321,217,0.0981,550,0.2485
41,4378,719,0.1642,389,0.0889,407,0.093,287,0.0656,156,0.0356,277,0.0633,354,0.0809,568,0.1297
42,4201,732,0.1742,404,0.0962,372,0.0886,205,0.0488,154,0.0367,270,0.0643,363,0.0864,529,0.1259
43,418,70,0.1675,14,0.0335,43,0.1029,17,0.0407,22,0.0526,7,0.0167,40,0.0957,99,0.2368
44,2379,427,0.1795,168,0.0706,227,0.0954,112,0.0471,81,0.034,155,0.0652,205,0.0862,309,0.1299
45,4099,666,0.1625,294,0.0717,376,0.0917,236,0.0576,163,0.0398,232,0.0566,348,0.0849,514,0.1254
46,1127,184,0.1633,101,0.0896,112,0.0994,90,0.0799,42,0.0373,79,0.0701,99,0.0878,118,0.1047
